ARSON	14563	1794	12.32%
ASSAULT	573117	115299	20.12%
BATTERY	1552836	336151	21.65%
BURGLARY	450458	25667	5.7%
CONCEALED CARRY LICENSE VIOLATION	1736	1681	96.83%
CRIM SEXUAL ASSAULT	27245	4359	16.0%
CRIMINAL DAMAGE	969092	62737	6.47%
CRIMINAL SEXUAL ASSAULT	12340	911	7.38%
CRIMINAL TRESPASS	229121	154730	67.53%
DECEPTIVE PRACTICE	395077	48044	12.16%
DOMESTIC VIOLENCE	1	1	100.0%
GAMBLING	14666	14559	99.27%
HOMICIDE	14165	6842	48.3%
HUMAN TRAFFICKING	145	13	8.97%
INTERFERENCE WITH PUBLIC OFFICER	20636	18915	91.66%
INTIMIDATION	5199	733	14.1%
KIDNAPPING	7537	801	10.63%
LIQUOR LAW VIOLATION	15471	15316	99.0%
MOTOR VEHICLE THEFT	438763	32872	7.49%
NARCOTICS	766757	761562	99.32%
NON-CRIMINAL	26	9	34.62%
OBSCENITY	977	715	73.18%
OFFENSE INVOLVING CHILDREN	61241	11776	19.23%
OTHER NARCOTIC VIOLATION	164	109	66.46%
OTHER OFFENSE	532471	94126	17.68%
PROSTITUTION	70483	70166	99.55%
PUBLIC INDECENCY	228	224	98.25%
PUBLIC PEACE VIOLATION	55226	34403	62.29%
RITUALISM	24	3	12.5%
ROBBERY	316649	29434	9.3%
SEX OFFENSE	34827	8743	25.1%
STALKING	6416	750	11.69%
THEFT	1811003	195921	10.82%
WEAPONS VIOLATION	126838	92198	72.69%
