ARSON	14563
ASSAULT	573117
BATTERY	1552836
BURGLARY	450458
CONCEALED CARRY LICENSE VIOLATION	1736
CRIM SEXUAL ASSAULT	27245
CRIMINAL DAMAGE	969092
CRIMINAL SEXUAL ASSAULT	12340
CRIMINAL TRESPASS	229121
DECEPTIVE PRACTICE	395077
DOMESTIC VIOLENCE	1
GAMBLING	14666
HOMICIDE	14165
HUMAN TRAFFICKING	145
INTERFERENCE WITH PUBLIC OFFICER	20636
INTIMIDATION	5199
KIDNAPPING	7537
LIQUOR LAW VIOLATION	15471
MOTOR VEHICLE THEFT	438763
NARCOTICS	766757
NON-CRIMINAL	26
OBSCENITY	977
OFFENSE INVOLVING CHILDREN	61241
OTHER NARCOTIC VIOLATION	164
OTHER OFFENSE	532471
PROSTITUTION	70483
PUBLIC INDECENCY	228
PUBLIC PEACE VIOLATION	55226
RITUALISM	24
ROBBERY	316649
SEX OFFENSE	34827
STALKING	6416
THEFT	1811003
WEAPONS VIOLATION	126838
