Location Description,Count
STREET,2228091
RESIDENCE,1395413
APARTMENT,1022007
SIDEWALK,766756
OTHER,269920
PARKING LOT/GARAGE(NON.RESID.),202918
ALLEY,189442
SMALL RETAIL STORE,173069
"SCHOOL, PUBLIC, BUILDING",146365
RESTAURANT,143944
VEHICLE NON-COMMERCIAL,135052
RESIDENCE-GARAGE,134949
RESIDENCE PORCH/HALLWAY,124154
DEPARTMENT STORE,114204
GROCERY FOOD STORE,106238
GAS STATION,95206
RESIDENTIAL YARD (FRONT/BACK),75134
COMMERCIAL / BUSINESS OFFICE,71061
PARK PROPERTY,64039
CHA PARKING LOT/GROUNDS,56093
PARKING LOT / GARAGE (NON RESIDENTIAL),49757
BAR OR TAVERN,48087
CTA PLATFORM,41708
CHA APARTMENT,40774
DRUG STORE,40504
CTA TRAIN,35329
BANK,33475
"SCHOOL, PUBLIC, GROUNDS",30247
HOTEL/MOTEL,29717
CONVENIENCE STORE,28587
CTA BUS,27975
OTHER (SPECIFY),25617
DRIVEWAY - RESIDENTIAL,25060
CHA HALLWAY/STAIRWELL/ELEVATOR,25021
VACANT LOT/LAND,24677
TAVERN/LIQUOR STORE,22457
HOSPITAL BUILDING/GROUNDS,22188
RESIDENCE - PORCH / HALLWAY,19343
POLICE FACILITY/VEH PARKING LOT,18529
RESIDENCE - YARD (FRONT / BACK),16526
AIRPORT/AIRCRAFT,16296
RESIDENCE - GARAGE,15860
,15820
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,15487
GOVERNMENT BUILDING/PROPERTY,14752
NURSING HOME/RETIREMENT HOME,14654
CONSTRUCTION SITE,14412
"SCHOOL, PRIVATE, BUILDING",14179
CURRENCY EXCHANGE,12523
ABANDONED BUILDING,12247
WAREHOUSE,10814
ATHLETIC CLUB,10456
CTA GARAGE / OTHER PROPERTY,10275
CTA BUS STOP,9016
BARBERSHOP,8846
ATM (AUTOMATIC TELLER MACHINE),8769
SCHOOL - PUBLIC BUILDING,8450
HOSPITAL BUILDING / GROUNDS,8381
CTA STATION,8108
TAXICAB,7831
LIBRARY,7747
SCHOOL - PUBLIC GROUNDS,7675
HOTEL / MOTEL,7460
MEDICAL/DENTAL OFFICE,7429
FACTORY/MANUFACTURING BUILDING,6892
OTHER RAILROAD PROP / TRAIN DEPOT,5930
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,5838
COLLEGE/UNIVERSITY GROUNDS,5786
VEHICLE-COMMERCIAL,5614
CLEANING STORE,5381
SPORTS ARENA/STADIUM,5288
POLICE FACILITY / VEHICLE PARKING LOT,4623
